City_ID,City,Country,Max Temp,Current Desc,Lat,Lng,Hotel Name
4,Bambous Virieux,MU,72.21,clear sky,-20.3428,57.7575,Casa Tia Villa
11,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
22,Dumai,ID,74.61,overcast clouds,1.6833,101.45,Grand Zuri Dumai
23,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Hasaki,JP,77.4,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
28,Yokadouma,CM,75.56,light rain,3.5167,15.05,Hôtel De Ville De Yokadouma
44,Puerto Ayora,EC,71.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Tezu,IN,76.39,overcast clouds,27.9167,96.1667,Circuit House
55,Kieta,PG,78.76,light rain,-6.2167,155.6333,Uruna Bay Retreat
56,Atuona,PF,76.86,few clouds,-9.8,-139.0333,Villa Enata
57,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
64,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
65,Biak,ID,74.52,light rain,-0.9131,122.8766,Penginapan Kim
74,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
76,Castro,BR,78.69,clear sky,-24.7911,-50.0119,CHACARA BAILLY
78,Meadow Lake,US,77.65,clear sky,34.8014,-106.5436,TumbleWeed RV Park
80,Vallenar,CL,75.31,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
92,Japura,ID,74.26,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
95,Sola,VU,78.17,overcast clouds,-13.8833,167.55,Leumerus Bungalows
99,Kamaishi,JP,72.46,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
100,Saint-Philippe,RE,72.95,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
105,Mahebourg,MU,72.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
108,Hilo,US,72.63,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
113,Pochutla,MX,77.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
115,Shorapur,IN,77.79,light rain,16.5167,76.75,Up Inn Lodge
131,Temerloh,MY,75.36,overcast clouds,3.4483,102.4176,U Design Hotel Temerloh
142,Karratha,AU,72.28,clear sky,-20.7377,116.8463,ibis Styles Karratha
147,Isangel,VU,70.2,clear sky,-19.55,169.2667,Tanna Lodge
152,Dingle,PH,77.52,light rain,10.9995,122.6711,SEGAYA PROPERTY
169,Buala,SB,78.67,light rain,-8.145,159.5921,Maringe Lagoon Lodge
171,Srivardhan,IN,77.65,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
172,Cognac,FR,79.57,clear sky,45.5,-0.25,Domaine de Pladuc
174,Kahului,US,76.26,clear sky,20.8947,-156.47,Maui Seaside Hotel
192,Hilo,US,72.63,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
211,Sao Jose Da Coroa Grande,BR,79.38,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
212,Dingle,PH,77.52,light rain,10.9995,122.6711,SEGAYA PROPERTY
213,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
224,Butaritari,KI,79.79,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
234,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
236,Atuona,PF,76.86,few clouds,-9.8,-139.0333,Villa Enata
244,Tura,IN,74.26,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
247,Puerto Ayora,EC,71.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
248,Porto Novo,BJ,77.07,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
252,Saint-Philippe,RE,72.95,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
255,Acapulco,MX,79.86,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
268,Yarkovo,RU,77.27,clear sky,57.4028,67.0786,Тобол
269,Isangel,VU,70.2,clear sky,-19.55,169.2667,Tanna Lodge
274,Isangel,VU,70.2,clear sky,-19.55,169.2667,Tanna Lodge
276,Ternate,ID,79.56,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
277,Bianzhuang,CN,73.69,light rain,34.8486,118.0447,Hao Shuo Business Hotel
284,Seoul,KR,74.77,broken clouds,37.5683,126.9778,롯데호텔 서울
289,Bengkulu,ID,75.52,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
303,Lagoa,PT,73.08,clear sky,39.05,-27.9833,Casa Das Faias
307,Huaicheng,CN,79.72,overcast clouds,23.9051,112.1931,Tengye Hotel
321,Khani,GE,72.97,broken clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
324,Tautira,PF,73.42,light rain,-17.7333,-149.15,Pension Oaoa
325,Mahebourg,MU,72.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
326,San Cristobal,VE,78.15,broken clouds,7.7669,-72.225,Posada Villaven C.A.
328,Nuevo Casas Grandes,MX,70.75,broken clouds,30.4167,-107.9167,Hotel Villa Colonial
340,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
343,Paka,MY,78.69,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
361,Salalah,OM,78.55,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
368,Bacolod,PH,78.67,light rain,10.6667,122.95,Planta Hotel & Residences
369,Shangrao,CN,78.53,clear sky,28.4532,117.9686,Boyue boutique Hotel
375,Manokwari,ID,78.58,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
380,Tautira,PF,73.42,light rain,-17.7333,-149.15,Pension Oaoa
384,Saint-Philippe,RE,72.95,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
385,Palaikastron,GR,79.16,clear sky,35.2,26.25,Marina Village
392,Quelimane,MZ,76.95,scattered clouds,-17.8786,36.8883,Hotel Flamingo
394,Saint-Philippe,RE,72.95,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
397,Porto Belo,BR,79.79,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
400,Hilo,US,72.63,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
406,Pasighat,IN,78.1,overcast clouds,28.0667,95.3333,Siang Guest House
408,Halifax,CA,75.42,scattered clouds,44.6453,-63.5724,Hotel Halifax
410,Birmitrapur,IN,79.65,broken clouds,22.4,84.7667,ANUP LOMGA
411,Hilo,US,72.63,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
415,Saint-Philippe,RE,72.95,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
416,Zheleznodorozhnyy,RU,71.15,overcast clouds,55.7503,38.0042,Hotel Dali
424,Bengkulu,ID,75.52,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
428,Isangel,VU,70.2,clear sky,-19.55,169.2667,Tanna Lodge
435,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
