City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Desc
0,Ingraj Bazar,IN,25.0,88.15,83.5,78,39,6.29,scattered clouds
1,Atar,MR,20.5169,-13.0499,103.26,25,61,4.21,broken clouds
2,Cape Town,ZA,-33.9258,18.4232,61.21,64,40,5.99,scattered clouds
3,Nouadhibou,MR,20.931,-17.0347,93.18,46,0,8.05,clear sky
4,Bambous Virieux,MU,-20.3428,57.7575,72.21,73,5,5.32,clear sky
5,Yellowknife,CA,62.456,-114.3525,45.72,62,0,8.16,clear sky
6,Qaanaaq,GL,77.484,-69.3632,38.44,82,100,4.29,overcast clouds
7,New Norfolk,AU,-42.7826,147.0587,53.1,76,100,1.99,overcast clouds
8,Hermanus,ZA,-34.4187,19.2345,59.81,60,4,10.29,clear sky
9,Busselton,AU,-33.65,115.3333,53.1,73,80,16.49,broken clouds
10,Lebu,CL,-37.6167,-73.65,51.31,92,100,32.79,overcast clouds
11,Kloulklubed,PW,7.0419,134.2556,77.5,71,100,5.61,overcast clouds
12,Rikitea,PF,-23.1203,-134.9692,68.85,53,76,17.83,broken clouds
13,Eenhana,NA,-17.4667,16.3333,89.26,10,0,7.23,clear sky
14,Tokonou,GN,9.65,-9.7833,80.69,76,75,4.94,light rain
15,Tual,ID,-5.6667,132.75,80.19,83,92,15.7,light rain
16,Boende,CD,-0.2167,20.8667,74.77,76,100,2.48,overcast clouds
17,Port Alfred,ZA,-33.5906,26.891,62.13,62,0,18.45,clear sky
18,Coihaique,CL,-45.5752,-72.0662,37.4,94,100,7.81,light rain
19,Lima,PE,-12.0432,-77.0282,59.25,82,90,5.75,overcast clouds
20,Bluff,NZ,-46.6,168.3333,41.81,78,66,16.33,broken clouds
21,Ust-Ilimsk,RU,58.0006,102.6619,56.75,93,95,4.36,overcast clouds
22,Dumai,ID,1.6833,101.45,74.61,92,100,2.84,overcast clouds
23,Kapaa,US,22.0752,-159.319,75.52,81,90,9.22,light rain
24,Tuatapere,NZ,-46.1333,167.6833,41.83,86,100,7.78,overcast clouds
25,Vaini,TO,-21.2,-175.2,69.96,100,75,5.75,light rain
26,Klaksvik,FO,62.2266,-6.589,54.52,87,86,19.6,overcast clouds
27,Hasaki,JP,35.7333,140.8333,77.4,85,100,12.53,heavy intensity rain
28,Yokadouma,CM,3.5167,15.05,75.56,82,97,2.08,light rain
29,Komsomolskiy,UZ,40.4272,71.7189,88.52,29,34,4.61,scattered clouds
30,Bredasdorp,ZA,-34.5322,20.0403,61.92,48,56,11.5,broken clouds
31,Dikson,RU,73.5069,80.5464,42.82,95,100,20.42,overcast clouds
32,Cherskiy,RU,68.75,161.3,57.58,60,100,7.67,overcast clouds
33,Tel Aviv-Yafo,IL,32.0805,34.7805,92.7,68,20,12.66,few clouds
34,Marathon,US,44.9,-89.7668,74.73,86,90,1.01,overcast clouds
35,Victoria,HK,22.2855,114.1577,86.32,80,100,1.99,overcast clouds
36,Hamilton,US,39.1834,-84.5333,84.99,65,17,1.99,few clouds
37,Buraydah,SA,26.326,43.975,103.48,9,0,12.62,clear sky
38,Bredasdorp,ZA,-34.5322,20.0403,61.92,48,56,11.5,broken clouds
39,Mataura,NZ,-46.1927,168.8643,41.49,87,29,3.78,light rain
40,Rikitea,PF,-23.1203,-134.9692,68.85,53,76,17.83,broken clouds
41,Novo Aripuana,BR,-5.1206,-60.3797,98.42,21,39,6.29,scattered clouds
42,Chuy,UY,-33.6971,-53.4616,59.47,52,82,9.19,broken clouds
43,Illapel,CL,-31.6308,-71.1653,65.48,25,96,4.61,overcast clouds
44,Puerto Ayora,EC,-0.7393,-90.3518,71.56,96,95,5.01,light rain
45,Tezu,IN,27.9167,96.1667,76.39,98,98,2.48,overcast clouds
46,Esperance,AU,-33.8667,121.9,55.24,80,5,22.53,clear sky
47,Georgetown,MY,5.4112,100.3354,82.89,81,20,0.0,heavy intensity rain
48,Guerrero Negro,MX,27.9769,-114.0611,69.17,73,73,9.98,broken clouds
49,Jeremie,HT,18.65,-74.1167,85.96,64,59,3.51,broken clouds
50,La Ronge,CA,55.1001,-105.2842,50.25,66,2,10.36,clear sky
51,Touros,BR,-5.1989,-35.4608,85.1,57,3,18.19,clear sky
